Date,Time,Direction,Number,Type,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure
2022.05.24,17:00:01,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:24,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:25,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:26,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:27,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:29,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:31,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:45,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:00:56,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:18,Direction 3,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:20,Direction 8,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:31,Direction 5,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:36,Direction 13,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:38,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:44,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:47,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:49,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:55,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:01:58,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:02:06,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:02:22,Direction 1,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:02:29,Direction 14,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:02:29,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:10,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:16,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:16,Direction 4,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:17,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:18,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:18,Direction 8,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:19,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:30,Direction 13,5,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:32,Direction 13,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:33,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:35,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:03:51,Direction 8,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:00,Direction 10,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:11,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:12,Direction 13,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:12,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:18,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:19,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:21,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:22,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:45,Direction 8,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:04:46,Direction 3,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:03,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:06,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:19,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:19,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:20,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:24,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:25,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:31,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:33,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:33,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:51,Direction 11,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:05:57,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:00,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:13,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:19,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:26,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:30,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:31,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:33,Direction 13,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:36,Direction 6,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:41,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:45,Direction 6,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:50,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:50,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:52,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:06:53,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:07:01,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:07:36,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:07:37,Direction 7,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:07:51,Direction 13,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:07:54,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:07:59,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:06,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:07,Direction 14,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:10,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:24,Direction 3,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:44,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:45,Direction 6,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:08:52,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:04,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:04,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:07,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:10,Direction 6,1,Bike,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:12,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:14,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:17,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:21,Direction 13,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:22,Direction 1,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:54,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:57,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:59,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:09:59,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:01,Direction 14,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:02,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:07,Direction 3,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:07,Direction 1,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:11,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:13,Direction 6,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:15:23,Direction 12,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
